Company,Ticker,Sector,Current Close,Open,Previous Close,Price Change (%),Beta,P/E Ratio,Market Cap,52-Week High,52-Week Low,Dividend Yield,Average Volume,RSI Score
Agilent Technologies,A,Healthcare,125.42,126.24,126.07,-0.516,1.049,29.72038,36592664576.0,155.35,96.8,0.0075,1993795.0,23.847079923765307
Alcoa Inc.,AA,Basic Materials,40.33,41.52,41.66,-3.193,2.456,,7241695232.0,45.48,23.07,0.0095999995,5458854.0,35.454213061620706
Aaron's Inc,AAN,Industrials,9.98,9.98,9.98,0.0,1.425,,314592544.0,16.16,6.622,0.050100002,564977.0,68.43078276920669
American Assets Trust,AAT,Real Estate,22.04,21.87,21.98,0.273,1.308,24.764046,1698748416.0,23.92,17.15,0.061,296426.0,31.47844744860818
Alliance Capital Management L.P.,AB,Financial Services,34.01,33.68,33.68,0.98,1.253,14.053718,3916727552.0,35.43,25.83,0.08189999,243645.0,31.780999376161432
Abbvie Inc. Common Stock,ABBV,Healthcare,168.05,167.02,166.52,0.919,0.623,50.014885,296754446336.0,182.89,132.7,0.0372,5546677.0,32.23069015438432
Abm Industries Incorporated,ABM,Industrials,48.97,49.39,49.61,-1.29,1.154,12.785901,3073533696.0,53.05,37.61,0.018099999,617459.0,53.8657085679383
Arbor Realty Trust,ABR,Real Estate,14.85,14.89,14.89,-0.269,1.993,9.28125,2799448064.0,17.74,11.77,0.1155,3733613.0,68.09988187840024
Abbot Laboratories,ABT,Healthcare,101.64,102.39,102.12,-0.47,0.718,31.663551,176815980544.0,121.64,89.67,0.0215,5658301.0,19.545969682873874
Arch Coal,ACI,Consumer Defensive,19.45,19.58,19.61,-0.816,0.333,8.721973,11263300608.0,23.88,19.405,0.024500001,2252139.0,61.16596202556803
Aecom Technology Corp.,ACM,Industrials,82.37,83.42,83.42,-1.259,1.17,94.67816,11212781568.0,98.72,74.4,0.0105,776672.0,37.202699402274774
Accenture Plc.,ACN,Technology,298.06,299.09,299.47,-0.471,1.227,27.269897,186700005376.0,387.51,278.69,0.0172,3540013.0,65.60125083331262
Avenue Income Credit Strategies,ACP,Financial Services,6.76,6.7,6.69,1.046,,6.5000005,352263616.0,7.17,5.55,0.17940001,362865.0,58.3705549838929
Ares Commercial Real Estate Cor,ACRE,Real Estate,6.83,6.77,6.76,1.036,1.497,,372281440.0,11.24,6.36,0.1479,571803.0,42.995124108076
Actavis Inc.,ACT,Financial Services,30.22,30.24,30.19,0.099,0.549,7.480198,4753363968.0,31.85,25.97,0.024500001,189170.0,28.779964055412805
Agree Realty Corp.,ADC,Real Estate,61.47,61.91,61.97,-0.807,0.591,36.37278,6206872064.0,69.26,52.69,0.0484,775270.0,56.34336332947832
Archer-Daniels-Midland Company,ADM,Consumer Defensive,63.13,63.36,63.38,-0.394,0.73,11.017452,31213873152.0,87.3,50.72,0.031600002,4080860.0,50.41965082507796
Adt Corporation Common Stock W,ADT,Industrials,7.16,7.36,7.36,-2.717,1.588,42.117645,6518277632.0,7.84,5.53,0.0299,5289860.0,29.610312927593995
Adams Express Company,ADX,Financial Services,21.96,22.06,22.0,-0.182,0.947,4.805251,2724181760.0,22.08,15.81,0.0091,160947.0,81.07130898421457
Ameren Corp.,AEE,Utilities,71.36,70.54,70.71,0.919,0.451,16.366972,19029571584.0,88.72,67.03,0.0379,1653606.0,53.381457697783354
Aegon Nv,AEF,Financial Services,5.42,5.36,5.37,0.931,0.989,9.508772,275074752.0,5.52,4.4,0.074499995,72604.0,68.64190188189319
Aegon Nv,AEG,Financial Services,6.25,6.19,6.18,1.133,1.152,,11166125056.0,6.96,4.63,0.0558,2555601.0,35.704578506238605
Agnico-Eagle Mines Limited,AEM,Basic Materials,70.2,70.0,69.93,0.386,1.052,88.860756,34973147136.0,71.5,43.22,0.0229,2611611.0,60.47477973513167
American Eagle Outfitters,AEO,Consumer Cyclical,20.17,19.77,19.82,1.766,1.486,18.171171,3961993216.0,26.44,12.04,0.0252,4721959.0,51.903549276560994
American Electric Power Company,AEP,Utilities,87.69,86.98,87.11,0.666,0.524,16.329609,46223327232.0,93.44,69.38,0.0404,2744818.0,44.459389702715114
Aercap Holdings N.V.,AER,Industrials,94.02,93.49,93.19,0.891,1.83,6.263824,18648209408.0,96.95,57.3,0.0107,1518644.0,34.26020440253674
The Aes Corp.,AES,Utilities,17.68,17.78,17.85,-0.952,1.079,24.219177,12564592640.0,22.6,11.43,0.0379,7906481.0,18.198670887230534
Alliance National Municipal,AFB,Financial Services,11.13,11.13,11.16,-0.269,0.537,58.57895,319930752.0,11.18,8.95,0.035099998,66921.0,73.36908451771832
American Financial Group  ,AFG,Financial Services,121.13,120.58,120.9,0.19,0.772,11.591388,10158809088.0,137.72,105.22,0.0235,267295.0,20.819955795092895
Aflac Incorporated,AFL,Financial Services,88.93,88.52,88.52,0.463,0.947,9.783278,50531983360.0,91.15,69.0,0.0226,2236932.0,31.511426606841
Apollo Senior Floating Rate Fund Inc.,AFT,Financial Services,15.0,14.86,14.93,0.469,0.483,6.4935064,233604000.0,15.14,12.54,0.1165,98245.0,49.69367938903616
First Majestic Silver,AG,Basic Materials,6.32,6.56,6.54,-3.364,1.349,,1839581312.0,8.44,4.17,0.0023,7483963.0,50.99339435008638
Agco Corp.,AGCO,Industrials,93.56,94.28,94.57,-1.068,1.271,6.330176,6981400576.0,140.46,92.75,0.0123000005,802281.0,30.243826076532017
Alpine Global Dynamic Dividend Fund,AGD,Financial Services,9.87,9.79,9.8,0.714,,15.666667,245418528.0,9.89,8.2,0.0796,55377.0,54.26466218112998
Alamos Gold Inc.,AGI,Basic Materials,16.7,16.75,16.74,-0.239,1.078,32.115387,6645013504.0,17.29,10.78,0.006,2223422.0,48.30021957752997
Federal Agricultural Mortgage Corp.,AGM,Financial Services,183.08,180.75,181.27,0.999,1.05,11.163415,1928253440.0,199.4,140.44,0.0309,48226.0,59.28278056444547
Federal Agricultural Mortgage  ,AGM-A,Financial Services,140.0,132.0,140.0,0.0,1.05,8.541794,1909180032.0,160.48,112.39,0.04,993.0,62.570322759198895
Assured Guaranty Ltd,AGO,Financial Services,80.7,80.11,76.7,5.215,1.109,6.280155,4393541632.0,96.6,55.24,0.0162,448970.0,46.25855570627499
Adecoagro S.A.,AGRO,Consumer Defensive,9.8,9.72,9.78,0.204,1.098,4.1525426,1020523008.0,12.51,8.96,0.0341,649383.0,51.15281380254883
Armada Hoffler Properties Inc.,AHH,Real Estate,10.99,11.0,11.02,-0.272,1.056,122.11111,975722944.0,13.11,9.81,0.0744,421211.0,43.45375491664935
Aspen Insurance Holdings Limite,AHL-PC,Financial Services,26.23,26.5,26.39,-0.606,,,1565870592.0,26.58,24.65,0.0916,19673.0,57.75198481224848
Ashford Hospitality Trust Inc,AHT,Real Estate,1.0,1.0,1.01,-0.99,2.325,,46383400.0,4.27,0.77,,387950.0,44.841607640193764
Ashford Hospitality Trust Inc 8,AHT-PD,Real Estate,15.74,16.2,16.39,-3.966,2.325,,232487664.0,17.75,8.23,0.1289,2336.0,61.18549357512925
Arlington Asset Investment Corp,AI,Technology,29.44,29.92,29.9,-1.538,1.817,,3674641920.0,44.9,20.23,,5539595.0,48.15138268140664
Apollo Investment Corporation,AIB,Financial Services,11.73,11.74,11.73,0.0,-0.025,,42369112.0,12.25,10.62,,231.0,47.15621090256496
Apollo Tactical Income Fund Inc,AIF,Financial Services,15.2,15.05,15.05,0.997,0.603,6.333333,219909040.0,15.45,12.49,0.1162,89291.0,76.25765521439813
American International Group,AIG,Financial Services,75.75,74.76,74.81,1.257,1.089,11.32287,50272849920.0,80.83,57.02,0.0214,4334086.0,30.115933297541176
Albany International Corp.,AIN,Consumer Cyclical,81.29,82.17,82.55,-1.526,1.27,22.83427,2539206912.0,99.41,78.2,0.0126,163257.0,35.001708657236904
Aar ,AIR,Industrials,71.94,72.02,72.35,-0.567,1.546,42.568047,2548625664.0,73.95,55.0,,265477.0,46.405007097664246
Applied Industrial Technologies,AIT,Industrials,183.8,188.1,188.68,-2.586,1.057,19.286465,7095157760.0,201.76,138.38,0.0078,261244.0,34.35545619510049
Apartment Investment And Management,AIV,Real Estate,8.32,8.21,8.2,1.463,1.508,,1204960640.0,8.93,5.63,,991257.0,34.210977479926896
Assurant,AIZ,Financial Services,161.61,161.19,161.4,0.13,0.538,11.301398,8401425408.0,189.48,124.22,0.0178,345193.0,16.424716981907935
Arthur J. Gallagher & Co.,AJG,Financial Services,263.93,264.72,264.54,-0.231,0.727,53.644306,57672925184.0,266.39,212.39,0.0091,841986.0,65.30969773091738
Acadia Realty Trust,AKR,Real Estate,18.49,18.42,18.45,0.217,1.485,205.44443,2036691968.0,18.55,13.24,0.039,906272.0,75.25040471052199
